time_s,note,hz,confidence,intensity,register,is_voiced
0.0,A3,223.31,0.5914,2.831,medio-grave,True
0.05,A3,222.9,0.8988,7.7736,medio-grave,True
0.1,A3,221.01,0.8676,13.8183,medio-grave,True
0.15,A3,220.7,0.7189,17.2918,medio-grave,True
0.2,A3,221.34,0.8675,17.4814,medio-grave,True
0.25,A3,221.66,0.857,16.8257,medio-grave,True
0.3,A3,221.64,0.7624,16.2309,medio-grave,True
0.35,A3,220.37,0.8308,16.0273,medio-grave,True
0.4,A3,220.56,0.8404,17.6888,medio-grave,True
0.45,A3,220.57,0.8763,18.2838,medio-grave,True
0.5,A3,219.36,0.6897,18.1761,medio-grave,True
0.55,A3,221.02,0.8904,18.318,medio-grave,True
0.6,A3,220.5,0.8332,18.3917,medio-grave,True
0.65,A3,221.21,0.8688,18.2779,medio-grave,True
0.7,A3,221.85,0.7412,18.331,medio-grave,True
0.75,A3,219.23,0.8831,18.2707,medio-grave,True
0.8,A3,219.87,0.8506,18.2506,medio-grave,True
0.85,A3,220.48,0.8384,18.3046,medio-grave,True
0.9,A3,220.42,0.8724,18.3118,medio-grave,True
0.95,A3,221.87,0.859,18.2758,medio-grave,True
1.0,A3,221.25,0.881,18.2808,medio-grave,True
1.05,A3,219.5,0.7808,18.3273,medio-grave,True
1.1,A3,220.76,0.9092,18.3268,medio-grave,True
1.15,A3,220.46,0.8636,18.2348,medio-grave,True
1.2,A3,220.28,0.8556,18.3633,medio-grave,True
1.25,A3,219.05,0.8684,18.3367,medio-grave,True
1.3,A3,218.41,0.8966,18.2566,medio-grave,True
1.35,A3,222.74,0.9032,18.2233,medio-grave,True
1.4,A3,222.13,0.8057,18.203,medio-grave,True
1.45,A3,219.98,0.9204,18.3543,medio-grave,True
1.5,A3,220.92,0.8627,18.2528,medio-grave,True
1.55,A3,221.98,0.8927,18.2472,medio-grave,True
1.6,A3,220.75,0.8699,18.2016,medio-grave,True
1.65,A3,221.83,0.9244,18.2738,medio-grave,True
1.7,A3,222.01,0.8779,18.3518,medio-grave,True
1.75,A3,220.12,0.8608,18.3487,medio-grave,True
